"","player","height","weight","birth_year"
"679","Trevor Ariza",203,97,1985
"680","Maurice Baker",185,79,1979
"681","Andre Barrett",178,78,1982
"682","Andris Biedrins",211,108,1986
"683","Tony Bobbitt",193,86,1979
"684","Matt Bonner",208,106,1980
"685","Antonio Burks",185,90,1980
"686","Jackie Butler",208,113,1985
"687","Geno Carlisle",190,81,1976
"688","Lionel Chalmers",183,81,1980
"689","Josh Childress",203,95,1983
"690","Nick Collison",208,115,1980
"691","Erik Daniels",203,97,1982
"692","Carlos Delfino",198,104,1982
"693","Luol Deng",206,99,1985
"694","Chris Duhon",185,83,1982
"695","Corsley Edwards",206,124,1979
"696","John Edwards",213,124,1981
"697","Andre Emmett",196,104,1982
"698","Luis Flores",188,90,1981
"699","Matt Freije",208,108,1981
"700","Ben Gordon",190,90,1983
"701","Devin Harris",190,87,1983
"702","David Harrison",213,127,1982
"703","Dwight Howard",211,120,1985
"704","Kris Humphries",206,106,1985
"705","Andre Iguodala",198,97,1984
"706","Didier Ilunga-Mbenga",198,97,1984
"707","Royal Ivey",190,90,1981
"708","Al Jefferson",208,131,1985
"709","Horace Jenkins",185,81,1974
"710","Mario Kasun",216,117,1980
"711","Viktor Khryapa",206,95,1982
"712","Brandin Knight",178,78,1975
"713","Nenad Krstic",213,108,1983
"714","Ibo Kutluay",198,90,1974
"715","Shaun Livingston",201,87,1985
"716","Kevin Martin",206,106,1977
"717","Jameer Nelson",183,86,1982
"718","Andres Nocioni",201,102,1979
"719","Emeka Okafor",208,114,1982
"720","Pavel Podkolzin",226,117,1985
"721","Peter John",226,117,1985
"722","Justin Reed",203,108,1982
"723","Jared Reiner",211,115,1982
"724","Bernard Robinson",198,95,1980
"725","Quinton Ross",198,88,1981
"726","Ha Seung-Jin",221,138,1985
"727","Kirk Snyder",198,102,1983
"728","Pape Sow",208,113,1981
"729","Awvee Storey",198,100,1977
"730","Robert Swift",213,111,1985
"731","Yuta Tabuse",175,74,1980
"732","Sebastian Telfair",183,74,1985
"733","Billy Thomas",193,94,1975
"734","James Thomas",198,97,1973
"735","Beno Udrih",190,92,1982
"736","Anderson Varejao",208,123,1982
"737","Jackson Vroman",208,99,1981
"738","Sasha Vujacic",201,88,1984
"739","Delonte West",193,81,1983
"740","Dorell Wright",206,92,1985
"741","Alex Acker",196,83,1983
"742","Alan Anderson",198,99,1982
"743","Martynas Andriuskevicius",218,108,1986
"744","Earl Barron",213,113,1981
"745","Eddie Basden",196,97,1983
"746","Brandon Bass",203,113,1985
